Course ID,CRN,Department,Course Title,Cr Hr,Typ,Days,From-Time,To-Time,Start-Date To End-Date,Bldg,Room,Max_Enr,PoT,Instructor_1,Instructor_2,Instructor_3,Instructor_4,Comment,,,,,,,
MATH-0115-002,11456,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,T R,1800pm,2020pm,06-JAN-21 To 24-APR-21,LP,Y316,40,1,TBA,,,,Lecture 002 take tutorial 403 or 404.,,,,,,,
MATH-0115-065,11457,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,M,0900am,0950am,06-JAN-21 To 24-APR-21,LP,Y318,40,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take tutorial 465.,,,,,,,
MATH-0115-065,11457,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,W F,0900am,1050am,06-JAN-21 To 24-APR-21,LP,Y318,40,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 065 take tutorial 465.,,,,,,,
MATH-0115-066,11458,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,M W,0830am,1020am,06-JAN-21 To 24-APR-21,LP,W227,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 066 take tutorial 466.,,,,,,,
MATH-0115-066,11458,MATHEMATICS & COMPUTING,Foundations of Mathematics I,0,LEC,F,0830am,0920am,06-JAN-21 To 24-APR-21,LP,W227,30,1,TBA,,,,RESTRICTION: Indigenous University Bridging Program | Lecture 066 take tutorial 466.,,,,,,,
MATH-0115-401,11459,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,1630pm,1720pm,06-JAN-21 To 24-APR-21,LP,Y316,20,1,TBA,,,,,,,,,,,
MATH-0115-402,11460,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,1630pm,1720pm,06-JAN-21 To 24-APR-21,LP,Y316,20,1,TBA,,,,,,,,,,,
MATH-0115-403,11461,MATHEMATICS & COMPUTING,Tutorial,0,TUT,R,2030pm,2120pm,06-JAN-21 To 24-APR-21,LP,Y316,20,1,TBA,,,,,,,,,,,
MATH-0115-404,11462,MATHEMATICS & COMPUTING,Tutorial,0,TUT,T,2030pm,2120pm,06-JAN-21 To 24-APR-21,LP,Y316,20,1,TBA,,,,,,,,,,,
MATH-0115-465,11463,MATHEMATICS & COMPUTING,Tutorial,0,TUT,M,1000am,1050am,06-JAN-21 To 24-APR-21,LP,Y318,40,1,TBA,,,,,,,,,,,
MATH-0115-466,11464,MATHEMATICS & COMPUTING,Tutorial,0,TUT,F,0930am,1020am,06-JAN-21 To 24-APR-21,LP,W227,30,1,TBA,,,,,,,,,,,
